id,text,gold_intent
1,"I still have not received my new card, I ordered over a week ago.",card_arrival
12,I still don't have my card after 2 weeks.  What should I do?,card_arrival
17,Why hasn't my card been delivered?,card_arrival
18,Where is my new card? I have been waiting a week!,card_arrival
26,I think something went wrong with my card delivery as I haven't received it yet.,card_arrival
29,i want to track the card you sent,card_arrival
34,Does the card you sent have a way to track to it?,card_arrival
36,"I'm starting to think my card is lost because it still hasn't arrived, can you help?",card_arrival
37,Is there tracking info available?,card_arrival
39,Where is the tracking number for the card you sent me?,card_arrival
45,"I received my new card, but I don't see it in the app anywhere.  What do I do?",card_linking
46,How do I re-add a card to the app?,card_linking
50,How do I link a new card?,card_linking
58,Where on the website do I go to link my card?,card_linking
64,Can I reactivate my lost card that I found this morning in my jacket pocket?,card_linking
65,how do I link an already existing card?,card_linking
67,how do I link a card I already have?,card_linking
69,Can you please show me where I can find the location to link my card?,card_linking
71,Is there a way to make my old card usable with the app?,card_linking
76,"Could you help me reactivate my card? It was previously lost, but I found it this morning in my jacket.",card_linking
82,How did you come up with your exchange rates?,exchange_rate
86,How often do your exchange rates change,exchange_rate
92,Can you explain your exchange rate policy to me?,exchange_rate
94,What is the exchange rate like on this app?,exchange_rate
107,What is the exchange rate like?,exchange_rate
109,what is the exchange rate?,exchange_rate
110,Where did your guys exchange rates come from?,exchange_rate
112,I'm trying to figure out the current exchange rate.,exchange_rate
117,What is my foreign exchange rate?,exchange_rate
119,What is the current exchange rate for me?,exchange_rate
121,I made a currency exchange and think I was charged more than I should of been.,card_payment_wrong_exchange_rate
122,the card payment exchange rate is wrong,card_payment_wrong_exchange_rate
123,The exchange rate was wrong when I bought something outside the country.,card_payment_wrong_exchange_rate
127,The rate applied to my foreign purchase was incorrect,card_payment_wrong_exchange_rate
128,I bought something in a foreign currency but the rate applied is wrong!,card_payment_wrong_exchange_rate
130,You did not apply the correct exchange rate for an item that I bought.,card_payment_wrong_exchange_rate
137,Why is your exchange rate for my card payment wrong,card_payment_wrong_exchange_rate
141,"When I made a purchase last Saturday, I was charged extra. Did I receive the right exchange rate?",card_payment_wrong_exchange_rate
144,"Hi, I have been overcharged for my payment last Saturday. I guess exchange rate was wrong.",card_payment_wrong_exchange_rate
157,Your exchange rate is totally wrong for my card payment,card_payment_wrong_exchange_rate
162,I'm not okay with this fee on my statement.,extra_charge_on_statement
164,There is a fee I don't recognize on my statement.,extra_charge_on_statement
170,I can see an extra 1£ charge on my app. Why did you charge me extra?,extra_charge_on_statement
171,Can you tell me why I noticed a $1 charge on my statement?,extra_charge_on_statement
172,When will the $1 transaction be credited to me?,extra_charge_on_statement
174,"I noticed an extra $1 charge on my statement, can you tell me why that is?",extra_charge_on_statement
183,Why was I overcharged a pound!?,extra_charge_on_statement
186,There is an extra charge on my app that I was not told about or I was aware of!,extra_charge_on_statement
192,"Can you help me with a weird charge?  It's a pound charge that never goes away from the statement view on the app I'm using.  It's not described as anything but ""Pending"", and that status has never changed during the last two days.",extra_charge_on_statement
193,What is the purpose of the extra fee that is showing up on my statement?,extra_charge_on_statement
201,My card was denied at an ATM earlier today but the transaction is pending. Please cancel it as I did not receive my money.,pending_cash_withdrawal
202,My transaction is still showing that is pending from my cash withdrawal.,pending_cash_withdrawal
203,"Hey I tried to get some money out earlier but the machine didn't work. Now just saw the transaction still seems in progress! Can you please check what's going there, seems something is broken, I don't want to be charged for money that I haven't actually received!",pending_cash_withdrawal
208,Why is my withdrawal still pending?,pending_cash_withdrawal
211,Why is a transaction showing as pending when I recieved cash from an ATM?,pending_cash_withdrawal
213,my atm cash out is still pending,pending_cash_withdrawal
224,I'm not quite understanding why my cash withdrawal is showing as pending.,pending_cash_withdrawal
225,I made a cash withdrawal but the pending status is taking forever.,pending_cash_withdrawal
227,Why am I unable to take money from my card but the statement says the transaction is still pending?,pending_cash_withdrawal
230,Cash withdrawal still pending?,pending_cash_withdrawal
247,What currencies do you do exchanges for?,fiat_currency_support
255,How do I change currencies to euros?,fiat_currency_support
258,Will you handle EUR?,fiat_currency_support
264,Am I able to exchange currencies?,fiat_currency_support
266,Which fiat currencies do you support?,fiat_currency_support
268,I want to make a currency exchange to EU.,fiat_currency_support
270,What kind of currency can I hold money in?,fiat_currency_support
274,How man currencies can I hold?,fiat_currency_support
278,Do you support the exchange of EUR from my currency.,fiat_currency_support
279,What countries can I travel to and have access to their currencies?,fiat_currency_support
280,I need my card now!,card_delivery_estimate
281,my card was not in the mail again can you advise?,card_delivery_estimate
282,i need my card quick,card_delivery_estimate
284,I'm just wondering when my card will get here.,card_delivery_estimate
285,Can you get me my card fast?,card_delivery_estimate
286,How long will it take to deliver something to US?,card_delivery_estimate
289,I need my card quickly,card_delivery_estimate
293,What is the difference between standard and express delivery?,card_delivery_estimate
301,"Ordered awhile back, what is the ETA in the US?",card_delivery_estimate
311,When can I expect to receive my new card?,card_delivery_estimate
323,"I'm running out of money, can I  auto top up?",automatic_top_up
327,"I read about the auto-top up function, but can't find it in the app.",automatic_top_up
334,Are there limits on auto top-up?,automatic_top_up
335,can you assist me with the auto top up ?,automatic_top_up
338,How can I top up automatically?,automatic_top_up
342,Where is the auto top-up option?,automatic_top_up
345,Can I space out how often money is transferred along my travels?,automatic_top_up
353,Is there any way to Auto top-up?,automatic_top_up
355,What is the auto top up function and where can I find that at?,automatic_top_up
356,Is there a way to top-up automatically?,automatic_top_up
365,My card won't work.,card_not_working
371,Can someone assist me by explaining why my card is not working?,card_not_working
372,Help me.  My card doesn't work.,card_not_working
376,My card isn't working anymore.,card_not_working
377,My card was declined today when eating and I need to know what's wrong.,card_not_working
378,My card doesn't work.,card_not_working
380,My actual card isn't working.,card_not_working
387,I can't use my card.,card_not_working
393,I have tried to use my card several times and it does not work.,card_not_working
394,The card I have doesn't work.,card_not_working
401,Tell me how I can exchange between different currency.,exchange_via_app
403,How do I change GBP to AUD?,exchange_via_app
405,How do I convert currencies with the app?,exchange_via_app
417,"If I receive foreign currencies, am I able to exchange them on the app?",exchange_via_app
422,I was wondering whether exchanging currencies can be done on this app.,exchange_via_app
425,Change currency,exchange_via_app
429,What currencies will this app exchange?,exchange_via_app
431,I would like to exchange some currency.,exchange_via_app
432,Can I exchange between GBP and USD on the app?,exchange_via_app
439,I would like to exchange currencies,exchange_via_app
440,"My entire gym bag, including my wallet, was stolen out of my locker today. Everything in my wallet is gone - how do I block the card to make it can't be used?",lost_or_stolen_card
441,I can't find my card and think it may have been stolen.,lost_or_stolen_card
442,"Someone stole my card. I need to report it stolen. I made a police report already, but how do I report it with you?",lost_or_stolen_card
443,"I cant find my card, it's gone.",lost_or_stolen_card
449,Help.  I have a stolen card!,lost_or_stolen_card
450,"card is lost, please help",lost_or_stolen_card
451,How do I report my card stolen?,lost_or_stolen_card
465,My bags were stolen. I need a new card but need to cancel the stolen one.,lost_or_stolen_card
466,Somehow I am missing my card.  What should I do?,lost_or_stolen_card
470,How do I report my card lost or stolen?,lost_or_stolen_card
485,How do I go about setting up an account for my daughter?,age_limit
486,Is there an age minimum?,age_limit
487,What is the youngest age in order to have an account?,age_limit
493,Could I open an account for my children?,age_limit
494,What is the age to open an account?,age_limit
496,Can I open a bank account for my newborn baby?,age_limit
500,Can my 19 year old daughter open a savings account at the bank?,age_limit
501,How old do you have to be to get an account?,age_limit
510,will i be able to open an account for my daughter,age_limit
515,How old do my children need to be to open an account?,age_limit
525,I used the wrong ping too many times and now the account is blocked.  How do I unblock?,pin_blocked
528,"When I put the wrong pin too much, I got blocked, so can you help me unblock my pin",pin_blocked
529,"My pin was blocked, how do I make it so I can use it?",pin_blocked
534,What do I do if the bank machine won't accept my PIN attempts anymore?,pin_blocked
535,Can you unlock my pin? I think I entered the wrong pin too many times.,pin_blocked
537,"I attempted to use my card while I was intoxicated, and I failed to input my PIN, and the machine kept my card. How soon can I have it back?",pin_blocked
541,Help! I forgot my PIN and have been locked out of using my card.,pin_blocked
544,Are you able to unblock my pin?,pin_blocked
551,Can I reactivate my PIN?,pin_blocked
553,Can I unblock my pin?,pin_blocked
572,Contactless isn't working for me,contactless_not_working
579,Can you help my fix my contactless?,contactless_not_working
581,I'm unable to use contactless payments for purchases.,contactless_not_working
582,"When I tried to pay for my bus ride, the contactless payment wouldn't work. How can I prevent this in the future?",contactless_not_working
585,How do I make contactless work,contactless_not_working
587,The contactless I have won't work.,contactless_not_working
592,How do I use contactless payments?,contactless_not_working
593,Help me with my contactless which isn't working.,contactless_not_working
597,Do I need to make a regular payment before a contactless one?,contactless_not_working
599,Should i reinstall the payment app?,contactless_not_working
606,I would like to refill my account using SWIFT.,top_up_by_bank_transfer_charge
610,Do I have to pay any fees in order to receive money?,top_up_by_bank_transfer_charge
613,Will there be any charges for money received?,top_up_by_bank_transfer_charge
618,What are the fees for top-ups?,top_up_by_bank_transfer_charge
619,Will topping up by transfer lead to a charge on my account?,top_up_by_bank_transfer_charge
627,Should I expect to be charged for topping up by transfer?,top_up_by_bank_transfer_charge
628,Will I be charged for a SEPA transfer?,top_up_by_bank_transfer_charge
633,Is a SWIFT transfer okay?,top_up_by_bank_transfer_charge
638,Can you tell me the total cost of a transfer?,top_up_by_bank_transfer_charge
639,can i do a transfer with swift,top_up_by_bank_transfer_charge
643,there's a delay in my top-up,pending_top_up
646,Could you explain why my top-up has gone through yet?,pending_top_up
653,Can you look into my top up please.  I made it over three hours ago and yet it's still pending.,pending_top_up
655,"What's going on with the top-up? All it says is pending, pending, pending! I use your service several times a week and have never had a problem before! What's going on here?",pending_top_up
657,top-up is slow to process,pending_top_up
659,"I topped up by card a while ago and it's still pending, surely it should be done by now?",pending_top_up
661,top up did not complete,pending_top_up
