id,text
t0,What is delivery speed to the United States?
t1,"I stupidly initiated a rent payment from the wrong account yesterday. It can't be paid from that account, but it really needs to get paid on time. Am I able to move the payment to the right account?"
t2,What is needed to activate my card?
t3,Where can I find top up by cash deposit?
t4,What happened to the money that I deposited?
t5,When will the money be made available in my account?
t6,How and where can I find the identity checks?
t7,The recipient doesn't see the money transaction I made
t8,I believe that the rate of exchange for my cash withdrawl is incorrect.
t9,If i want to change my pin number can I directly from an ATM?
t10,"Hello, I believe there has been a mistake made on the exchange rate for my card. Could you please check the official interbank exchange rate for me?"
t11,Is my PIN recorded anywhere?
t12,Why is the cash not showing in my account for the check I deposited?
t13,What countries are you supporting?
t14,Can you tell me where to find top up by cash deposit?
t15,"I have a transfer from the US, How long is the wait?"
t16,How do I get a refund for something I bought?
t17,Why is my PIN blocked?
t18,How can I change my PIN?  Help.
t19,What is the process when my card is due to expire?
t20,Where do I find my code to verify my top-up card?
t21,Can I have another card in addition to my first one?
t22,Do you issue cards for someone living in the US?
t23,I need to transfer money into this account from my other bank account.
t24,Verifying top-up cards necessary?
t25,I have a transaction showing up more than once.
t26,Tell me why my topup wouldn't go through?
t27,How do I know where my funds come from?
t28,Why are top-ups being verified?
t29,I am so angry right now!  I went to the ATM and did not get the correct amount of money I chose to withdraw.  How could this happen?  I need my money and want to know how I can get it ASAP!
t30,How do I get my card into the app?
t31,What currencies do you accept for adding money to my account?
t32,I sent a payment but now it's not showing up.
t33,When can I expect to receive my card?
t34,Will my pin number be sent with my card?
t35,I have my card now how do I activate it?
t36,Why is there an identify check?
t37,"After putting in the wrong PIN too many times, I was blocked. Can you assist me in changing it?"
t38,What is the present state of the exchange rate?
t39,Will you charge me more if I top up with an international card?
t40,The money disappeared after I topped up my account.
t41,Can I use a Visa or Mastercard?
t42,Why hasn't arrived yet a transaction I did to my friend?
t43,Why is my cash withdrawal still pending?
t44,What is the rate for exchange fees?
t45,Are you available in my country?
t46,"I lost my phone, what should I do?"
t47,Why aren't my payment funds available to me?
t48,"Hi, I am unable to use my card in ATM. I had tried my card in two ATMs but both ATMs declined it. Could you please check my account?"
t49,Have you sent out my card yet?
t50,"If my top-up didn't transfer, what went wrong?"
t51,What cards do you support
t52,why do I have to show my ID
t53,I had to pay a pound more than I anticipated!
t54,I have a new card. How do I activate it?
t55,Money is not in recipients account.
t56,My bag got stolen with all my cards. Can you please cancel my card and send a new one?
t57,I made a payment and it appears it is showing twice
t58,"Hey, I got charged extra for some reason when I purchased an app. Is this a hidden fee or something? I don't think it's very cool."
t59,I have forgotten my passcode
t60,Is there an age limit to when my child can use these services?
t61,I was given the wrong amount of cash
t62,I don't understand why you aren't accepting my transfer. After a couple times trying I'm still getting an error message.
t63,How do I cancel a transfer?
t64,I was charge a fee that I wasn't told about
t65,I need to verify the source of funds.
t66,I seem to of forgotten my passcode.
t67,my friend has not got the money I sent last week.
t68,"I heard you have an auto-top up option, where do I find that?"
t69,"I have used all my PIN tries, what now?"
t70,Why is there an extra fee on a transfer?
t71,I transferred some cash and it didn't arrive
t72,Where did the  €1 fee in my statement come from
t73,Why was I charged extra on my app?
t74,"I already made a transfer and want to cancel it, how do I do that?"
t75,It looks like my card payment was sent back.
t76,I don't remember my passcode?
t77,my statement contains an unknown payment
t78,I am having trouble with the app recognizing me.
t79,How many disposable cards can I have at one time?
t80,What does it cost to receive a SEPA transfer?
t81,I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?
t82,When will I get my new card?
t83,I am out of money in my account and I was wondering if I could do a bank transfer is put more in it?
t84,I have exceeded the number of PIN attempts
t85,Is there a way you can have money from a purchase I made refunded to my account.
t86,Can I exchange USD and GBP from the app?
t87,can I have multiple currencies?
t88,A transfer was not allowed to an account.
t89,There's a payment with my card that I definitely didn't create. I don't know anyone by that name.
t90,What are the age requirements for service?
t91,When will I get a virtual card? I haven't gotten one yet
t92,If my card payment isn't working what do I do?
t93,"I froze my account, but how do I order a replacement card?"
t94,I think my top up was reversed.
t95,I wanted to purchase something online but the payment was returned back to me. This has been going on for a couple of weeks. Please tell me what is going on here?
t96,I would like to link my card to my account.
t97,there is a debit i dont recognize
t98,"The exchange rate you're using is terrible - this can't be the official interbank exchange rate, can it?"
t99,When will my top up be applied?
t100,My card payment did not go through.
t101,"I was charged a fee for the transfer, but can you tell me why?"
t102,Can I transfer money to my card via bank-transfer?
t103,What do I do if I lost my phone?
t104,How is the PIN delivered?
t105,The app reversed a top off I had.  What should I do?
t106,What is the cost of a transfer?
t107,Is my child too young to sign up?
t108,My card wasn't working in a shop
t109,why is there a service fee on my statement?
t110,Is there a fee for european bank cards?
t111,which identity details are required
t112,Why is there a charge for $1 on my account?
t113,I didn't see any reason why my transfer was declined. What gives?
t114,let me know how many disposable cards I can have?
t115,I just did a money transaction but its not showing they received it
t116,What is the way to go about getting a virtual card?
t117,How can I fix my bank transfer to show up on my bank account?
t118,How long will it take the money to appear in my account?
t119,I want to deactivate my account.
t120,how do the cards work?
t121,Is it possible to exchange currencies on the app?
t122,I am interested in changing my personal details.
t123,My transfer hasn't appeared yet
t124,How can I reset my PIN?
t125,When does my transfer from the US arrive in my account?
t126,How do I get my card out of the ATM?
t127,How quickly can I transfer something to China?
t128,How do I order a replacement for stolen card?
t129,Why was I charged more than I should have been?
t130,"I no longer have my phone, what should I do?"
t131,I have been double charged
t132,Please delete my account and personal information.
t133,I was charged a fee for using my card. Can I check that in any way? It seems like there are occasions that I am charge for fees. Can you elaborate this?
t134,why do i have a failed transfer
t135,When will I receive the cash payment from the check I deposited?
t136,I still haven't gotten my new card.  When will it get here?
t137,Cash I did not get showed up in my account
t138,Whats wrong with my currency exchange?
t139,Do you know the process how to activate my card?
t140,Can I use app to unblock my card?
t141,When I purchased a product in another country the currency exchange was incorrect.
t142,Salary in GBP has been received. Does it need to be configured into another place?
t143,Is there a top up fee for transfer?
t144,How do I get my refund back?
t145,Will I be charged a fee for a SEPA transfer?
t146,How long does it take for cash withdrawals to hit my account?
t147,Can I reset my PIN?
t148,"Although I am not located in the UK area, may i still receive a card?"
t149,My balance doesn't show my deposit.
t150,What forms of ID should I use for verification?
t151,My card wont work at an ATM
t152,"Show me how to link the new card,"
t153,I did not receive the correct amount for the exchange rate.
t154,Can I allow other people to top up my account?
t155,Why is my card payment still listed as pending?
t156,Do you have to be in the UK to get a card?
t157,I am not able to verify my id. Why?
t158,I got a strange cash withdrawal in my statement
t159,How do I go about ordering a card?
t160,What should I do if I lost my phone?
t161,"I received the wrong color and size, can I return it?"
t162,Where do I go to update details?
t163,I have a missing refund
t164,There is a payment done with my card which i definitely did not do.Never seen that name before.
t165,I don't recognize the direct debit payment from the app.
t166,Can you help me find the virtual card?
t167,What can I expect at card expiration?
t168,Is it possible for me to change my PIN number?
t169,"There's a weird payment showing in my app that I definitely haven't made myself, as I haven't used the card at all that day. Please cancel that and return my money."
